tid,phylum.R,class.R,order.R,family.R,genus.R,species.R,keeling.R
2925,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,no rank,Dinoflagellates
2926,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,no rank,Dinoflagellates
2932,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,no rank,Dinoflagellates
2945,no rank,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,no rank,Dinoflagellates
2961,no rank,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,no rank,Dinoflagellates
2966,no rank,Dinophyceae,Noctilucales,Noctilucaceae,Noctiluca,no rank,Dinoflagellates
2969,no rank,Dinophyceae,Oxyrrhinales,Oxyrrhinaceae,Oxyrrhis,no rank,Dinoflagellates
2972,no rank,Dinophyceae,Pyrocystales,Pyrocystaceae,Pyrocystis,no rank,Dinoflagellates
39447,no rank,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,no rank,Dinoflagellates
39448,no rank,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,no rank,Dinoflagellates
39449,no rank,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,no rank,Dinoflagellates
39455,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,no rank,Dinoflagellates
43686,no rank,Dinophyceae,Suessiales,Suessiaceae,Pelagodinium,no rank,Dinoflagellates
47934,no rank,Dinophyceae,Dinophysiales,Dinophysiaceae,Dinophysis,no rank,Dinoflagellates
66468,no rank,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,no rank,Dinoflagellates
66791,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,no rank,Dinoflagellates
71861,no rank,Dinophyceae,Peridiniales,Thoracosphaeraceae,Scrippsiella,no rank,Dinoflagellates
73915,no rank,Dinophyceae,Gonyaulacales,Goniodomataceae,Pyrodinium,no rank,Dinoflagellates
88552,Dinoflagellata,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,no rank,Dinoflagellates
89957,no rank,Dinophyceae,Suessiales,Suessiaceae,Polarella,no rank,Dinoflagellates
89963,no rank,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,no rank,Dinoflagellates
104179,no rank,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,no rank,Dinoflagellates
109239,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,no rank,Dinoflagellates
133427,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Protoceratium,no rank,Dinoflagellates
143672,no rank,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,no rank,Dinoflagellates
156230,no rank,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia,no rank,Dinoflagellates
160604,no rank,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,no rank,Dinoflagellates
160619,no rank,Dinophyceae,Peridiniales,Peridiniaceae,Kryptoperidinium,no rank,Dinoflagellates
160621,no rank,Dinophyceae,Gonyaulacales,no rank,Lingulodinium,no rank,Dinoflagellates
174948,no rank,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,no rank,Dinoflagellates
192219,no rank,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,no rank,Dinoflagellates
210733,no rank,Dinophyceae,Peridiniales,Podolampaceae,Lessardia,no rank,Dinoflagellates
230996,no rank,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,no rank,Dinoflagellates
268820,no rank,Dinophyceae,Peridiniales,Peridiniaceae,Peridinium,no rank,Dinoflagellates
268821,no rank,Dinophyceae,Peridiniales,Thoracosphaeraceae,Scrippsiella,no rank,Dinoflagellates
285029,no rank,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Togula,no rank,Dinoflagellates
285985,no rank,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,no rank,Dinoflagellates
293213,no rank,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium sp. clade C,Dinoflagellates
311494,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,no rank,Dinoflagellates
327968,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,no rank,Dinoflagellates
377605,no rank,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium sp. clade C,Dinoflagellates
400756,no rank,Dinophyceae,Peridiniales,Peridiniaceae,Durinskia,no rank,Dinoflagellates
407301,no rank,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,no rank,Dinoflagellates
439317,no rank,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus,no rank,Dinoflagellates
447022,no rank,Dinophyceae,Peridiniales,Thoracosphaeraceae,Scrippsiella,no rank,Dinoflagellates
462645,no rank,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,no rank,Dinoflagellates
631057,no rank,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,no rank,Dinoflagellates
632150,Dinoflagellata,Dinophyceae,Gonyaulacales,Amphidomataceae,Azadinium,no rank,Dinoflagellates
993574,no rank,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium sp. clade A,Dinoflagellates
1333877,no rank,Dinophyceae,Peridiniales,Endodiniaceae,Brandtodinium,no rank,Dinoflagellates
73025,Euglenida,no rank,Eutreptiales,no rank,Eutreptiella,no rank,Euglenids
312471,no rank,no rank,Kinetoplastida,Bodonidae,Neobodo,no rank,Euglenids
145522,Eustigmatophyceae,no rank,Eustigmatales,Monodopsidaceae,Nannochloropsis,no rank,Eustigmatophytes
29189,no rank,no rank,Rotaliida,Rotaliidae,no rank,no rank,Foraminifera
37353,no rank,no rank,Rotaliida,Rosalinidae,no rank,no rank,Foraminifera
126664,no rank,no rank,Miliolida,Soritidae,Sorites,no rank,Foraminifera
933848,no rank,no rank,Rotaliida,Elphidiidae,Elphidium,no rank,Foraminifera
38269,no rank,Glaucocystophyceae,Gloeochaetales,Gloeochaetaceae,Gloeochaete,no rank,Glaucophytes
2832,no rank,no rank,Pavlovales,Pavlovaceae,Pavlova,no rank,Haptophytes
2903,no rank,no rank,Isochrysidales,Noelaerhabdaceae,Emiliania,no rank,Haptophytes
13221,no rank,no rank,Coccolithales,Pleurochrysidaceae,Pleurochrysis,no rank,Haptophytes
33656,no rank,no rank,Phaeocystales,Phaeocystaceae,Phaeocystis,no rank,Haptophytes
33657,no rank,no rank,Phaeocystales,Phaeocystaceae,Phaeocystis,no rank,Haptophytes
37098,no rank,no rank,Isochrysidales,Isochrysidaceae,Isochrysis,no rank,Haptophytes
37099,no rank,no rank,Isochrysidales,Isochrysidaceae,Isochrysis,no rank,Haptophytes
38817,no rank,no rank,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,no rank,Haptophytes
40639,no rank,no rank,Isochrysidales,Isochrysidaceae,Isochrysis,no rank,Haptophytes
44452,no rank,no rank,Pavlovales,Pavlovaceae,Pavlova,no rank,Haptophytes
72548,no rank,no rank,Prymnesiales,Prymnesiaceae,Prymnesium,no rank,Haptophytes
97485,no rank,no rank,Prymnesiales,Prymnesiaceae,Prymnesium,no rank,Haptophytes
97495,no rank,no rank,Prymnesiales,Prymnesiaceae,Imantonia,no rank,Haptophytes
118079,no rank,no rank,Phaeocystales,Phaeocystaceae,Phaeocystis,no rank,Haptophytes
119497,no rank,no rank,Pavlovales,Pavlovaceae,Exanthemachrysis,no rank,Haptophytes
127549,no rank,no rank,Coccolithales,Calcidiscaceae,Calcidiscus,no rank,Haptophytes
156173,no rank,no rank,Prymnesiales,Prymnesiaceae,Haptolina,no rank,Haptophytes
156174,no rank,no rank,Prymnesiales,Prymnesiaceae,Haptolina,no rank,Haptophytes
221442,no rank,no rank,Coccolithales,Coccolithaceae,Coccolithus,no rank,Haptophytes
280463,no rank,no rank,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,Haptophytes
298111,no rank,no rank,Pavlovales,Pavlovaceae,Pavlova,no rank,Haptophytes
412157,no rank,no rank,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,no rank,Haptophytes
418940,no rank,no rank,Coccosphaerales,no rank,Pontosphaeraceae,no rank,Haptophytes
483367,no rank,no rank,Pavlovales,no rank,Pavlova,no rank,Haptophytes
5762,no rank,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Naegleria,no rank,Heteroloboseans
4773,no rank,Labyrinthulomycetes,no rank,Thraustochytriaceae,Schizochytrium,no rank,Labyrinthulids
87102,no rank,Labyrinthulomycetes,no rank,Thraustochytriaceae,Aurantiochytrium,no rank,Labyrinthulids
96639,no rank,Labyrinthulomycetes,no rank,no rank,no rank,no rank,Labyrinthulids
215587,no rank,Labyrinthulomycetes,no rank,Thraustochytriaceae,Aplanochytrium,no rank,Labyrinthulids
627963,no rank,Labyrinthulomycetes,no rank,Thraustochytriaceae,Aplanochytrium,no rank,Labyrinthulids
702273,no rank,Labyrinthulomycetes,no rank,Thraustochytriaceae,Aplanochytrium,Aplanochytrium kerguelense,Labyrinthulids
876976,no rank,Labyrinthulomycetes,no rank,Thraustochytriaceae,Schizochytrium,Schizochytrium aggregatum,Labyrinthulids
1112570,no rank,Labyrinthulomycetes,no rank,Thraustochytriaceae,Thraustochytrium,no rank,Labyrinthulids
1229909,Thaumarchaeota,no rank,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,no rank,Archaea
93060,Cyanobacteria,no rank,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,Bacteria
939195,Actinobacteria,Actinobacteria,no rank,no rank,no rank,no rank,Bacteria
1007124,Marinimicrobia,no rank,no rank,no rank,no rank,no rank,Bacteria
44446,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,no rank,Diatoms
49240,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,no rank,Diatoms
291029,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,no rank,Diatoms
655751,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,no rank,Diatoms
180227,no rank,no rank,no rank,Paramoebidae,Paramoeba,no rank,Amoeboa
905826,Thaumarchaeota,no rank,no rank,no rank,no rank,no rank,Bacteria
939857,Marinimicrobia,no rank,no rank,no rank,no rank,no rank,Bacteria
1007120,Proteobacteria,Gammaproteobacteria,no rank,no rank,no rank,no rank,Bacteria
1007121,Marinimicrobia,no rank,no rank,no rank,no rank,no rank,Bacteria
1007122,Marinimicrobia,no rank,no rank,no rank,no rank,no rank,Bacteria
33651,no rank,no rank,no rank,no rank,no rank,no rank,Bicosoecids
91990,Bolidophyceae,no rank,no rank,no rank,no rank,no rank,Bolidophytes
91992,Bolidophyceae,no rank,no rank,no rank,Bolidomonas,no rank,Bolidophytes
29199,no rank,no rank,no rank,no rank,Chlorarachnion,no rank,Chlorarachniophytes
77921,no rank,Glaucocystophyceae,no rank,no rank,no rank,no rank,Chlorarachniophytes
91324,no rank,no rank,no rank,no rank,Lotharella,no rank,Chlorarachniophytes
168855,no rank,no rank,no rank,no rank,Amorphochlora,no rank,Chlorarachniophytes
227086,no rank,no rank,no rank,no rank,Bigelowiella,no rank,Chlorarachniophytes
552665,no rank,no rank,no rank,no rank,Bigelowiella,no rank,Chlorarachniophytes
629695,no rank,no rank,no rank,no rank,Gymnochlora,no rank,Chlorarachniophytes
641309,no rank,no rank,no rank,no rank,Lotharella,no rank,Chlorarachniophytes
753081,no rank,no rank,no rank,no rank,Bigelowiella,Bigelowiella natans,Chlorarachniophytes
348535,Chromerida,no rank,no rank,no rank,no rank,no rank,Chromera
505693,Chromerida,no rank,no rank,no rank,Chromera,no rank,Chromera
1169540,Chromerida,no rank,no rank,no rank,Vitrella,Vitrella brassicaformis,Chromera
187299,no rank,no rank,no rank,no rank,no rank,no rank,Ciliates
197538,no rank,Spirotrichea,no rank,Strombidiidae,Strombidium,no rank,Ciliates
223996,no rank,Spirotrichea,no rank,no rank,Protocruzia,no rank,Ciliates
1082188,no rank,Spirotrichea,no rank,Strombidiidae,Strombidium,no rank,Ciliates
200890,no rank,no rank,no rank,Paramoebidae,no rank,no rank,Dactylopodids
218659,no rank,no rank,no rank,Vexilliferidae,no rank,no rank,Dactylopodids
262233,Haplosporidia,no rank,no rank,Haplosporidiidae,Minchinia,no rank,Haplosporidia
259385,no rank,no rank,no rank,no rank,Chrysoculter,no rank,Haptophytes
63605,no rank,Heterolobosea,no rank,no rank,Percolomonas,no rank,Heteroloboseans
91329,no rank,no rank,no rank,no rank,no rank,no rank,no rank
100272,no rank,no rank,no rank,no rank,no rank,no rank,no rank
136419,no rank,no rank,no rank,no rank,no rank,no rank,no rank
274854,Euryarchaeota,no rank,no rank,no rank,no rank,no rank,no rank
485358,no rank,Oligohymenophorea,no rank,no rank,Aristerostoma,no rank,no rank
498012,no rank,no rank,no rank,no rank,Trichosphaerium,no rank,no rank
552666,no rank,no rank,no rank,no rank,Partenskyella,no rank,no rank
652834,no rank,no rank,no rank,no rank,Palpitomonas,no rank,no rank
1042828,no rank,no rank,no rank,no rank,Stygamoeba,no rank,no rank
1078864,no rank,no rank,no rank,no rank,Stereomyxa,no rank,no rank
1131268,Euryarchaeota,no rank,no rank,no rank,no rank,no rank,no rank
1181717,no rank,Synchromophyceae,no rank,no rank,Synchroma,no rank,no rank
114041,no rank,Pelagophyceae,no rank,no rank,no rank,no rank,Pelagophytes
483370,no rank,Pelagophyceae,no rank,no rank,no rank,no rank,Pelagophytes
1462469,no rank,Pelagophyceae,no rank,no rank,no rank,no rank,Pelagophytes
136452,no rank,no rank,no rank,Echinamoebidae,Filamoeba,no rank,Tubulinids
95228,no rank,no rank,no rank,Vannellidae,no rank,no rank,Vannellids
498008,no rank,no rank,no rank,Vannellidae,Pessonella,no rank,Vannellids
67593,no rank,Oomycetes,Peronosporales,no rank,Phytophthora,no rank,Oomycetes
164328,no rank,Oomycetes,Peronosporales,no rank,Phytophthora,no rank,Oomycetes
403677,no rank,Oomycetes,Peronosporales,no rank,Phytophthora,Phytophthora infestans,Oomycetes
622258,no rank,Oomycetes,Peronosporales,no rank,Phytophthora,Phytophthora cinnamomi,Oomycetes
763924,no rank,Oomycetes,Peronosporales,no rank,Phytophthora,Phytophthora capsici,Oomycetes
321610,no rank,no rank,Perkinsida,Perkinsidae,Perkinsus,Perkinsus chesapeaki,Perkinsus
1032511,no rank,no rank,Perkinsida,Perkinsidae,Perkinsus,Perkinsus marinus,Perkinsus
124430,Pinguiophyceae,no rank,Pinguiochrysidales,Pinguiochrysidaceae,Phaeomonas,no rank,Pinguiophytes
172671,Pinguiophyceae,no rank,Pinguiochrysidales,Pinguiochrysidaceae,Pinguiococcus,no rank,Pinguiophytes
2792,no rank,Bangiophyceae,Porphyridiales,Porphyridiaceae,Porphyridium,no rank,Porphyridiophytes
708627,no rank,Bangiophyceae,Porphyridiales,Porphyridiaceae,Timspurckia,no rank,Porphyridiophytes
708628,no rank,Bangiophyceae,Porphyridiales,Porphyridiaceae,Erythrolobus,no rank,Porphyridiophytes
1077150,no rank,Bangiophyceae,Porphyridiales,Porphyridiaceae,Erythrolobus,no rank,Porphyridiophytes
3165,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,no rank,Prasinophytes
36882,Chlorophyta,no rank,Pyramimonadales,no rank,Pyramimonas,no rank,Prasinophytes
36894,Chlorophyta,no rank,Pyramimonadales,no rank,Pyramimonas,no rank,Prasinophytes
36898,Chlorophyta,no rank,Pyramimonadales,no rank,Pyramimonas,no rank,Prasinophytes
38833,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,no rank,Prasinophytes
41875,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,no rank,Prasinophytes
63592,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,no rank,Prasinophytes
70448,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,no rank,Prasinophytes
81844,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Mantoniella,no rank,Prasinophytes
195967,Chlorophyta,Mamiellophyceae,Dolichomastigales,Crustomastigaceae,Crustomastix,no rank,Prasinophytes
195969,Chlorophyta,Mamiellophyceae,Dolichomastigales,Dolichomastigaceae,Dolichomastix,no rank,Prasinophytes
296587,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,no rank,Prasinophytes
385169,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,no rank,Prasinophytes
436017,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus 'lucimarinus',Prasinophytes
548131,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,no rank,Prasinophytes
564608,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla,Prasinophytes
582737,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,no rank,Prasinophytes
1074897,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,no rank,Prasinophytes
1075084,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,Prasinophytes
1461541,Chlorophyta,no rank,Pyramimonadales,no rank,Pterosperma,no rank,Prasinophytes
1461545,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Mantoniella,no rank,Prasinophytes
44440,no rank,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,no rank,Raphidophytes
94617,no rank,Raphidophyceae,Chattonellales,Chattonellaceae,Fibrocapsa,no rank,Raphidophytes
536046,no rank,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,Heterosigma akashiwo,Raphidophytes
536047,no rank,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,Heterosigma akashiwo,Raphidophytes
31354,no rank,Compsopogonophyceae,Compsopogonales,Compsopogonaceae,Compsopogon,no rank,Red Algae
753684,no rank,Compsopogonophyceae,Erythropeltidales,Erythrotrichiaceae,Madagascaria,no rank,Red Algae
38298,no rank,Rhodellophyceae,Rhodellales,Rhodellaceae,Rhodella,no rank,Rhodophytes
101924,no rank,Stylonematophyceae,Stylonematales,Stylonemataceae,Rhodosorus,no rank,Rhodophytes
2988,no rank,Synurophyceae,Synurales,Mallomonadaceae,no rank,no rank,Synurophytes
39354,Streptophyta,no rank,Lamiales,Lamiaceae,Perovskia,no rank,Tracheophytes
554065,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,no rank,Trebouxiophytes
1461547,Chlorophyta,Trebouxiophyceae,Microthamniales,no rank,Stichococcus,no rank,Trebouxiophytes
1486928,no rank,no rank,Arcellinida,Difflugiidae,no rank,no rank,Tubulinids
109269,Xanthophyceae,no rank,Vaucheriales,Vaucheriaceae,Vaucheria,no rank,Xanthophytes
172717,Bolidophyceae,no rank,no rank,no rank,Bolidomonas,Bolidomonas pacifica,Bolidophytes
